Ivan Vanko / Whiplash,Howard Stark[7]
Ivan Vanko / Whiplash,Happy Hogan
Ivan Vanko / Whiplash,J.A.R.V.I.S (voix)
Ivan Vanko / Whiplash,un US Marshal
Ivan Vanko / Whiplash,Christine Everhart
Ivan Vanko / Whiplash,le sénateur Stern
Ivan Vanko / Whiplash,Christiane Amanpour
Ivan Vanko / Whiplash,l'inspecteur Lemieux
Ivan Vanko / Whiplash,le major Allen
Ivan Vanko / Whiplash,Larry Ellison
Ivan Vanko / Whiplash,DJ AM
Ivan Vanko / Whiplash,le général Meade
Ivan Vanko / Whiplash,Anton Vanko
Ivan Vanko / Whiplash,un journaliste confondu avec Larry King (caméo)
Ivan Vanko / Whiplash,Rebecca
Ivan Vanko / Whiplash,Rebeka
Ivan Vanko / Whiplash,Bambi Arbogast
Ivan Vanko / Whiplash,Chess Roberts
Ivan Vanko / Whiplash,Elon Musk
Ivan Vanko / Whiplash,Tony Stark jeune
Ivan Vanko / Whiplash,Jack
Ivan Vanko / Whiplash,Peter Parker (petit garçon avec le masque d'Iron-Man)
Ivan Vanko / Whiplash,Dubbing Brothers[8]
Ivan Vanko / Whiplash,Michel Derain
Ivan Vanko / Whiplash,Philippe Videcoq
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],Natalie Rushman / Natasha Romanoff / Black Widow
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],Justin Hammer[5]
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],"Nick Fury, directeur du SHIELD[6]"
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],"Phil Coulson, agent du SHIELD"
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],Howard Stark[7]
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],Happy Hogan
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],J.A.R.V.I.S (voix)
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],un US Marshal
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],Christine Everhart
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],le sénateur Stern
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],Christiane Amanpour
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],l'inspecteur Lemieux
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],le major Allen
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],Larry Ellison
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],DJ AM
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],le général Meade
le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5],Anton Vanko
